border,n,median,mean,win_rate,sortino
0,-1.6,-10.54167980194407,-7.288056657722348,7.454017424975799,-0.49559981332217434
0,-1.5,-9.694012743117675,-6.430614925662415,8.228460793804453,-0.4619547294914007
0,-1.4,-8.797395444749757,-5.565261394251627,9.583736689254598,-0.4235555887253696
0,-1.3,-7.973798503133411,-4.691932150671681,11.22942884801549,-0.3794716611337988
0,-1.2,-7.231972594589797,-3.8105628517948795,12.197483059051308,-0.32856072906844774
0,-1.1,-6.447669648518661,-2.921088721787128,14.03678606001936,-0.269420178544447
0,-1.0,-5.7046457021558865,-2.023444549700947,16.55372700871249,-0.20032376517005945
0,-0.9,-4.909129623222174,-1.117564687058531,20.232333010648595,-0.11917565367298223
0,-0.8,-4.118218343862812,-0.2033830454247357,23.523717328170378,-0.02344285244609567
0,-0.7,-3.1965756216571495,0.7191669060299117,26.815101645692156,0.08990248487522444
0,-0.6,-2.3467002114125446,1.6501521429763277,31.07454017424976,0.22439579949419391
0,-0.5,-1.6039869628884595,2.589640088384042,36.689254598257506,0.3840316850488869
0,-0.4,-0.7774555392894622,3.537698614988509,44.1432720232333,0.5733415229784129
0,-0.3,0.037828145387841516,4.494396047768543,50.242013552758955,0.797222574118263
0,-0.2,0.8631998830057053,5.45980116643395,57.69603097773476,1.0606692191430018
0,-0.1,1.7044787893133795,6.4339832079233235,63.69796708615682,1.369022801611332
0,0.0,2.503855577348646,7.417011868912097,69.31268151016457,1.7275721549117853
0,0.1,3.5420548782631123,8.408957308330809,74.4433688286544,2.1433661105475705
0,0.2,4.525441137760011,9.409890149893675,78.02516940948692,2.6234101402198107
0,0.3,5.414752067707318,10.419881484637422,80.83252662149081,3.1752213274807266
0,0.4,6.2537253613835,11.439002873470493,85.18877057115198,3.8052986017849695
0,0.5,7.279054677790109,12.467326349732557,87.41529525653436,4.5219877071971215
0,0.6,8.168206112005883,13.50492442176445,89.64181994191675,5.327803596631813
0,0.7,9.188060336603366,14.551870075488424,90.80348499515974,6.223275706744683
0,0.8,10.087508552041257,15.608236776998986,91.67473378509197,7.2051424444023375
0,0.9,11.136407020318417,16.674098475163984,93.22362052274927,8.279817597046994
0,1.0,12.00891397291024,17.749529604236407,93.80445304937076,9.458457988469847
0,1.1,12.919508778558042,18.83460508647647,94.48209099709584,10.72642939559173
0,1.2,13.88594086743602,19.92940033478439,95.15972894482091,12.070929512450979
0,1.3,14.816289971698037,21.033991255343697,96.32139399806388,13.501243162582831
0,1.4,15.8990463806173,22.148454250275016,96.61181026137464,15.0549673794209
0,1.5,16.9369874150076,23.27286622030067,96.90222652468539,16.764275268184576
0,1.6,17.829355450704433,24.407304567419715,97.19264278799614,18.654078559586782
0,1.7,18.76144732457201,25.551847197593784,97.48305905130688,20.75890325057699
0,1.8,19.71116100628376,26.706572523443565,97.57986447241046,23.115145785308297
0,1.9,20.72512811042062,27.871559466955983,97.87028073572121,25.761581786917958
0,2.0,22.000122434786086,29.04688746220221,98.16069699903196,28.75820697383775
0,2.1,23.09578572281329,30.232636458066356,98.25750242013552,32.16887667966326
0,2.2,24.06879737556975,31.428886920984986,98.45111326234269,36.06803838291385
0,2.3,25.13208254311825,32.635719837697515,98.54791868344628,40.58588284115392
0,2.4,26.28894696263364,33.85321671800742,98.83833494675702,45.86683536001188
0,2.5,27.417044632069953,35.08145959755429,98.83833494675702,52.131054229218904
0,2.6,28.571694102543653,36.320531040596876,98.83833494675702,59.679233088866916
0,2.7,29.66699035536571,37.570514142806964,98.83833494675702,68.88532681685973
0,2.8,30.749857330512476,38.83149253407435,98.83833494675702,80.23684443252743
0,2.9,31.721446078995918,40.10355038132267,99.12875121006776,94.34326978793402
0,3.0,32.79381894056108,41.38677239133635,99.12875121006776,112.00224468572809
0,3.1,33.87325744562477,42.68124381359847,99.32236205227493,133.8255049017339
