strategy,S&P500
4.223012779,-4.260228281
4.223012779,-4.260228281
4.223012779,-4.260228281
4.223012779,-4.260228281
4.223012779,-4.260228281
4.223012779,-4.260228281
4.223012779,-4.260228281
1.582455594,-4.197052111
1.582455594,-4.197052111
1.582455594,-4.197052111
1.582455594,-4.197052111
1.582455594,-4.197052111
1.582455594,-4.197052111
1.582455594,-4.197052111
1.582455594,-4.197052111
1.582455594,-4.197052111
1.582455594,-4.197052111
4.477628813,-4.18210572
4.477628813,-4.18210572
4.477628813,-4.18210572
4.477628813,-4.18210572
4.477628813,-4.18210572
4.477628813,-4.18210572
4.477628813,-4.18210572
4.477628813,-4.18210572
4.477628813,-4.18210572
4.477628813,-4.18210572
-3.222521088,-4.175367918
-3.222521088,-4.175367918
-3.222521088,-4.175367918
-3.222521088,-4.175367918
-3.222521088,-4.175367918
-3.222521088,-4.175367918
-3.222521088,-4.175367918
-3.222521088,-4.175367918
-3.222521088,-4.175367918
-3.222521088,-4.175367918
-8.854791839,-4.163037964
-8.854791839,-4.163037964
-8.854791839,-4.163037964
-8.854791839,-4.163037964
-8.854791839,-4.163037964
-8.854791839,-4.163037964
-8.854791839,-4.163037964
-8.854791839,-4.163037964
-8.854791839,-4.163037964
-8.854791839,-4.163037964
8.55496637,-4.137081718
8.55496637,-4.137081718
8.55496637,-4.137081718
8.55496637,-4.137081718
8.55496637,-4.137081718
8.55496637,-4.137081718
8.55496637,-4.137081718
8.55496637,-4.137081718
8.55496637,-4.137081718
8.55496637,-4.137081718
-2.005253023,-4.124124341
-2.005253023,-4.124124341
-2.005253023,-4.124124341
-2.005253023,-4.124124341
-2.005253023,-4.124124341
-2.005253023,-4.124124341
-2.005253023,-4.124124341
-2.005253023,-4.124124341
-2.005253023,-4.124124341
-2.005253023,-4.124124341
-2.965692193,-4.066488323
-2.965692193,-4.066488323
-2.965692193,-4.066488323
-2.965692193,-4.066488323
-2.965692193,-4.066488323
-2.965692193,-4.066488323
-2.965692193,-4.066488323
-2.965692193,-4.066488323
-2.965692193,-4.066488323
-2.965692193,-4.066488323
1.494158058,-4.007974977
1.494158058,-4.007974977
1.494158058,-4.007974977
1.494158058,-4.007974977
1.494158058,-4.007974977
1.494158058,-4.007974977
1.494158058,-4.007974977
1.494158058,-4.007974977
1.494158058,-4.007974977
1.494158058,-4.007974977
-4.012923044,-3.986825546
-4.012923044,-3.986825546
-4.012923044,-3.986825546
-4.012923044,-3.986825546
-4.012923044,-3.986825546
-4.012923044,-3.986825546
-4.012923044,-3.986825546
-4.012923044,-3.986825546
-4.012923044,-3.986825546
-4.012923044,-3.986825546
5.359546462,-3.952937244
5.359546462,-3.952937244
5.359546462,-3.952937244
5.359546462,-3.952937244
5.359546462,-3.952937244
5.359546462,-3.952937244
5.359546462,-3.952937244
5.359546462,-3.952937244
5.359546462,-3.952937244
5.359546462,-3.952937244
-10.05094704,-3.901019317
-10.05094704,-3.901019317
-10.05094704,-3.901019317
-10.05094704,-3.901019317
-10.05094704,-3.901019317
-10.05094704,-3.901019317
-10.05094704,-3.901019317
-10.05094704,-3.901019317
-10.05094704,-3.901019317
-10.05094704,-3.901019317
-2.937791188,-3.898290105
-2.937791188,-3.898290105
-2.937791188,-3.898290105
-2.937791188,-3.898290105
-2.937791188,-3.898290105
-2.937791188,-3.898290105
-2.937791188,-3.898290105
-2.937791188,-3.898290105
-2.937791188,-3.898290105
-2.937791188,-3.898290105
-5.260672798,-3.883668991
-5.260672798,-3.883668991
-5.260672798,-3.883668991
-5.260672798,-3.883668991
-5.260672798,-3.883668991
-5.260672798,-3.883668991
-5.260672798,-3.883668991
-5.260672798,-3.883668991
-5.260672798,-3.883668991
-5.260672798,-3.883668991
6.173693649,-3.828606137
6.173693649,-3.828606137
6.173693649,-3.828606137
6.173693649,-3.828606137
6.173693649,-3.828606137
6.173693649,-3.828606137
6.173693649,-3.828606137
6.173693649,-3.828606137
6.173693649,-3.828606137
6.173693649,-3.828606137
-5.99064529,-3.694930254
-5.99064529,-3.694930254
-5.99064529,-3.694930254
-5.99064529,-3.694930254
-5.99064529,-3.694930254
-5.99064529,-3.694930254
-5.99064529,-3.694930254
-5.99064529,-3.694930254
-5.99064529,-3.694930254
-5.99064529,-3.694930254
-1.49343931,-3.692393767
-1.49343931,-3.692393767
-1.49343931,-3.692393767
-1.49343931,-3.692393767
-1.49343931,-3.692393767
-1.49343931,-3.692393767
-1.49343931,-3.692393767
-1.49343931,-3.692393767
-1.49343931,-3.692393767
-1.49343931,-3.692393767
-0.333209098,-3.630220075
-0.333209098,-3.630220075
-0.333209098,-3.630220075
-0.333209098,-3.630220075
-0.333209098,-3.630220075
-0.333209098,-3.630220075
-0.333209098,-3.630220075
-0.333209098,-3.630220075
-0.333209098,-3.630220075
-0.333209098,-3.630220075
3.730475216,-3.570734722
3.730475216,-3.570734722
3.730475216,-3.570734722
3.730475216,-3.570734722
3.730475216,-3.570734722
3.730475216,-3.570734722
3.730475216,-3.570734722
3.730475216,-3.570734722
3.730475216,-3.570734722
3.730475216,-3.570734722
3.646615019,-3.538264152
3.646615019,-3.538264152
3.646615019,-3.538264152
3.646615019,-3.538264152
3.646615019,-3.538264152
3.646615019,-3.538264152
3.646615019,-3.538264152
3.646615019,-3.538264152
3.646615019,-3.538264152
3.646615019,-3.538264152
2.8341265,-3.518806529
2.8341265,-3.518806529
2.8341265,-3.518806529
2.8341265,-3.518806529
2.8341265,-3.518806529
2.8341265,-3.518806529
2.8341265,-3.518806529
2.8341265,-3.518806529
2.8341265,-3.518806529
2.8341265,-3.518806529
7.359963258,-3.418284287
7.359963258,-3.418284287
7.359963258,-3.418284287
7.359963258,-3.418284287
7.359963258,-3.418284287
7.359963258,-3.418284287
7.359963258,-3.418284287
7.359963258,-3.418284287
7.359963258,-3.418284287
7.359963258,-3.418284287
-0.686272465,-3.393121928
-0.686272465,-3.393121928
-0.686272465,-3.393121928
-0.686272465,-3.393121928
-0.686272465,-3.393121928
-0.686272465,-3.393121928
-0.686272465,-3.393121928
-0.686272465,-3.393121928
-0.686272465,-3.393121928
-0.686272465,-3.393121928
1.895758524,-3.357108624
1.895758524,-3.357108624
1.895758524,-3.357108624
1.895758524,-3.357108624
1.895758524,-3.357108624
1.895758524,-3.357108624
1.895758524,-3.357108624
