n,median,mean,positives
92,0.38287262850421955,0.42207023512171155,54.78927203065134
93,0.4890193121463089,0.34320942363665063,56.13026819923371
94,0.3816496372785553,0.07296764022226897,56.513409961685824
95,0.23646847961947146,0.3565856162700259,54.02298850574713
96,0.20017759425643525,0.20932795964783804,53.25670498084292
97,0.34489211962415633,0.42782170897887706,53.06513409961686
98,0.07665437828064886,0.08340452331481985,50.95785440613027
99,0.3542446683417516,0.22155167248495333,54.78927203065134
100,0.3675101362109983,0.3048361629421471,53.83141762452107
101,0.4304762347782928,0.3596233807049238,55.938697318007655
102,0.49274633701525405,0.3574849832456684,54.98084291187739
103,0.4486139519771455,0.28040668867530166,55.938697318007655
104,0.5177739648596026,0.2875025525664959,55.938697318007655
105,0.17711692061007567,0.15552387406357468,53.06513409961686
106,0.48606155936520246,0.42769101538732235,55.74712643678161
107,0.3762203803329861,0.2141015644579368,54.59770114942529
108,0.37301642859289924,0.27652046466239444,56.896551724137936
109,0.47638938423395605,0.32891267037566513,54.98084291187739
110,0.24301788395969615,-0.1671733744825197,52.87356321839081
111,0.1649456200347366,0.2327630363439674,51.91570881226054
112,0.3446867837076059,0.4208776875502366,55.74712643678161
113,0.3083983966356184,0.21800690287315866,53.44827586206896
114,0.38355519364984547,0.49776249738901013,55.3639846743295
115,0.4332255162106676,0.22507774873221534,55.3639846743295
116,0.2154187963569889,0.2618100755134498,51.91570881226054
117,0.27288024895292573,-0.011215022709043966,54.02298850574713
118,0.26367742467085825,0.10977315990702609,52.10727969348659
119,0.41462037882255964,0.3586311884811984,55.3639846743295
120,0.517940330334562,0.3430525081497905,55.55555555555556
121,0.16062593690617757,0.23565152830587371,53.25670498084292
122,0.31114867983220895,0.1562150995503898,54.98084291187739
123,0.2501280283925007,0.22144721405400525,52.87356321839081
124,0.20963772500408348,0.16334295276406716,52.490421455938694
125,0.2645514882016916,0.2568834399301729,53.83141762452107
126,0.24366097989058866,0.13613364118821228,53.83141762452107
