border,n,median,mean,win_rate,sortino,,,,n,win_rate,median,win_rate2,tot_win:,median2,tot_med,,,n,median,median2
0,-3.3,22.43699387,32.77715328,100,0,,,,-3.3,100,22.43699387,3.291384318,103.2913843,-22.99234906,-0.555355189,,,-3.3,22.43699387,-22.99234906
0,-3.2,21.90567241,31.69475207,100,0,,,,-3.2,100,21.90567241,3.291384318,103.2913843,-22.33454314,-0.428870728,,,-3.2,21.90567241,-22.33454314
0,-3.1,21.3011357,30.62488911,100,0,,,,-3.1,100,21.3011357,3.291384318,103.2913843,-21.73320367,-0.432067969,,,-3.1,21.3011357,-21.73320367
0,-3,20.71689008,29.56738944,99.90319458,3557.480436,,,,-3,99.90319458,20.71689008,3.388189739,103.2913843,-21.052965,-0.336074924,,,-3,20.71689008,-21.052965
0,-2.9,20.11602596,28.52208055,99.90319458,1219.228834,,,,-2.9,99.90319458,20.11602596,3.388189739,103.2913843,-20.41602485,-0.299998891,,,-2.9,20.11602596,-20.41602485
0,-2.8,19.50289957,27.4887923,99.90319458,715.222559,,,,-2.8,99.90319458,19.50289957,3.388189739,103.2913843,-19.74511849,-0.242218918,,,-2.8,19.50289957,-19.74511849
0,-2.7,18.95544169,26.46735695,99.90319458,495.3422284,,,,-2.7,99.90319458,18.95544169,3.678606002,103.5818006,-19.09025149,-0.134809804,,,-2.7,18.95544169,-19.09025149
0,-2.6,18.2078415,25.45760906,99.80638916,368.0158809,,,,-2.6,99.80638916,18.2078415,3.872216844,103.678606,-18.43135665,-0.223515155,,,-2.6,18.2078415,-18.43135665
0,-2.5,17.64049617,24.45938552,99.80638916,263.1248998,,,,-2.5,99.80638916,17.64049617,3.872216844,103.678606,-17.64678479,-0.00628862,,,-2.5,17.64049617,-17.64678479
0,-2.4,17.11071631,23.47252551,99.70958374,192.8706784,,,,-2.4,99.70958374,17.11071631,4.065827686,103.7754114,-16.90655622,0.204160088,,,-2.4,17.11071631,-16.90655622
0,-2.3,16.50058383,22.49687044,99.70958374,147.440976,,,,-2.3,99.70958374,16.50058383,4.259438529,103.9690223,-16.13971083,0.360872997,,,-2.3,16.50058383,-16.13971083
